comment_id,user_id,article_id,text,likes,replies,created_at
C001,U001,A001,这个观点我不同意，但作者的数据来源还算清楚，可以继续讨论。,68,8,2026-09-10 08:15
C002,U002,A001,你是不是有病啊，这种话也说得出口，别出来丢人。,12,15,2026-09-10 08:21
C003,U003,A002,建议先看完整报告再下结论，教育议题不能只靠情绪判断。,94,11,2026-09-10 09:05
C004,U004,A003,支持加强平台审核，辱骂和造谣本来就不该被推荐。,51,4,2026-09-10 09:26
C005,U005,A004,某些人真是垃圾，天天带节奏，赶紧封了吧。,20,23,2026-09-10 10:12
C006,U006,A002,文章提到的心理干预部分很重要，希望学校能有长期机制。,77,6,2026-09-10 10:38
C007,U007,A005,这类技术如果只看热度，可能会放大偏见，需要加入多样性约束。,83,12,2026-09-10 11:03
C008,U008,A003,完全赞同，公共讨论应该反对攻击个人而不是压制不同意见。,71,9,2026-09-10 11:18
C009,U002,A004,笑死，写这个的人脑子进水了吧。,8,17,2026-09-10 11:41
C010,U009,A005,算法治理最难的是透明度，推荐理由和申诉机制都要展示。,106,14,2026-09-10 12:09
C011,U010,A001,不同群体的表达习惯不一样，模型阈值最好按场景校准。,64,5,2026-09-10 12:33
C012,U005,A002,这帮人就该闭嘴，别污染评论区。,19,20,2026-09-10 13:01
